code,tm,signal_name,period,chg_pct_4,chg_pct_8,chg_pct_16,chg_pct_20,chg_pct_24
002236.XSHE,2018-04-02 10:30:00,Death,60m,0.00416666666667,-0.0108333333333,0.0433333333333,0.0483333333333,0.0395833333333
002466.XSHE,2018-04-03 10:30:00,Death,60m,-0.0108425168859,-0.0255954496978,-0.00835407038749,-0.0316388197654,-0.0652328474938
601398.XSHG,2018-04-03 10:30:00,Death,60m,0.00532859680284,0.0,0.0692717584369,0.044404973357,0.0284191829485
000006.XSHE,2018-04-03 11:30:00,Death,60m,0.0102040816327,0.0174927113703,0.0379008746356,0.0131195335277,0.033527696793
002415.XSHE,2018-04-03 15:00:00,Gold,60m,-0.00443458980044,0.000985464400099,0.0169992609017,0.0125646711013,0.0142892338014
300187.XSHE,2018-04-03 15:00:00,Death,60m,-0.117212249208,-0.205913410771,-0.356916578669,-0.421330517423,-0.473072861668
600703.XSHG,2018-04-04 10:30:00,Death,60m,-0.00854316546763,-0.0287769784173,-0.00809352517986,-0.00989208633094,-0.00989208633094
000006.XSHE,2018-04-04 11:30:00,Gold,60m,0.00721500721501,0.012987012987,0.002886002886,0.023088023088,0.00865800865801
601398.XSHG,2018-04-04 14:00:00,Gold,60m,-0.00355239786856,0.0408525754885,0.0337477797513,0.0248667850799,-0.0088809946714
000006.XSHE,2018-04-09 10:30:00,Death,60m,0.0115942028986,0.031884057971,0.0202898550725,0.0173913043478,0.0101449275362
002236.XSHE,2018-04-09 10:30:00,BottomDivergence,60m,0.0351384869781,0.0400992145515,0.0305911533692,0.0210830921869,-0.0471269119471
002236.XSHE,2018-04-09 10:30:00,Gold,60m,0.0351384869781,0.0400992145515,0.0305911533692,0.0210830921869,-0.0471269119471
000006.XSHE,2018-04-09 14:00:00,Gold,60m,0.0157593123209,0.0114613180516,0.0143266475645,0.00573065902579,-0.0186246418338
002028.XSHE,2018-04-10 10:30:00,Death,60m,0.00485142510613,0.00363856882959,0.000606428138266,-0.00303214069133,0.00242571255306
002466.XSHE,2018-04-10 14:00:00,Gold,60m,-0.00663201290554,-0.0347732568561,-0.0505466929557,-0.0842444882595,-0.0693672701201
600085.XSHG,2018-04-10 14:00:00,Death,60m,0.00431848852901,0.00566801619433,-0.00755735492578,-0.00971659919028,-0.0512820512821
600703.XSHG,2018-04-11 10:30:00,Gold,60m,-0.038779956427,-0.040522875817,-0.0457516339869,-0.0771241830065,-0.0100217864924
600085.XSHG,2018-04-11 11:30:00,Gold,60m,-0.00620447801457,-0.0124089560291,-0.00674399784192,-0.0585379012679,-0.0561100620448
600085.XSHG,2018-04-11 14:00:00,Death,60m,0.00134372480516,-0.0204246170384,-0.0139747379737,-0.0553614619726,-0.0647675356087
000006.XSHE,2018-04-12 15:00:00,Death,60m,0.0,-0.0127478753541,-0.0155807365439,-0.0311614730878,-0.0439093484419
002466.XSHE,2018-04-12 15:00:00,Death,60m,-0.00467202392076,-0.0227994767333,-0.022051952906,-0.0259764529994,-0.0272846196973
